-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2004 through 12/31/2022 
Location: Latitude  13.1622   Longitude 77.6098 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 841.72 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) 
GWETTOP             MERRA-2 Surface Soil Wetness (1) 
GWETROOT            MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT           CERES SYN1deg Cloud Amount (%) 
T2M_RANGE           MERRA-2 Temperature at 2 Meters Range (C) 
WS10M_RANGE         MERRA-2 Wind Speed at 10 Meters Range (m/s) 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
CLOUD_AMT,2008,15.89,42.22,60.15,33.18,50.7,85.22,83.24,85.27,72.7,63.84,50.49,22.91,55.5
CLOUD_AMT,2009,17.59,19.59,45.34,46.91,56.27,70.36,88.23,78.51,79.13,39.75,59.58,49.23,54.38
CLOUD_AMT,2010,32.35,30.74,41.33,51.86,55.9,81.31,92.98,88.7,79.34,81.2,68.05,50.2,63.02
CLOUD_AMT,2011,20.75,31.91,28.5,45.81,53.29,81.77,90.41,91.76,73.88,66.73,42.91,40.18,55.8
CLOUD_AMT,2012,26.35,37.59,39.71,53.89,57.99,74.05,89.66,87.26,76.76,63.65,35.84,41.46,57.09
CLOUD_AMT,2013,26.09,39.59,51.88,40.32,74.28,89.49,97.69,85.41,79.8,73.69,41.69,33.61,61.29
CLOUD_AMT,2014,32.74,40.9,49.2,48.58,59.6,69.46,87.52,88.89,74.88,61.19,55.7,59.05,60.79
CLOUD_AMT,2015,34.07,32.25,44.08,54.17,69.2,79.57,75.77,76.91,79.19,46.78,75.49,35.23,58.62
CLOUD_AMT,2016,39.02,37.93,43.02,28.34,60.74,88.16,92.98,84.02,87.32,44.53,35.38,40.94,56.94
CLOUD_AMT,2017,35.73,43.08,27.4,40.47,64.04,84.81,89.41,91.73,82.01,70.85,63.09,35.95,60.78
CLOUD_AMT,2018,33.2,48.28,30.8,39.28,72.38,83.92,93.19,90.09,69.42,48.66,48.48,43.36,58.48
CLOUD_AMT,2019,40.29,34.72,17.48,43.34,59.73,78.06,90.91,92.43,87.14,76.02,39.47,48.91,59.21
CLOUD_AMT,2020,27.16,28.62,22.78,45.31,67.5,87.34,93.1,95.11,83.56,70.27,55.9,46.58,60.36
CLOUD_AMT,2021,48.08,37.56,23.18,46.95,64.45,81.26,92.39,88.45,86.45,81.31,89.05,43.71,65.35
CLOUD_AMT,2022,28.85,24.14,31.61,46.98,67.6,81.41,90.93,90.42,78.19,69.7,56.38,45.7,59.55
T2M_RANGE,2004,22.18,23.53,24.53,21.18,17.51,12.34,13.88,11.53,12.34,12.64,15.32,20.38,30.0
T2M_RANGE,2005,20.77,24.81,22.7,17.3,18.8,12.31,11.53,9.95,10.4,9.68,15.51,16.61,29.11
T2M_RANGE,2006,19.16,23.45,20.41,20.75,19.06,12.77,13.02,13.99,14.86,15.2,15.38,19.22,29.99
T2M_RANGE,2007,22.67,23.6,22.1,19.54,16.7,15.99,11.41,10.76,11.97,11.96,18.97,17.52,29.78
T2M_RANGE,2008,20.26,20.24,21.66,22.25,18.31,13.4,12.51,10.36,12.01,16.22,15.83,17.03,29.38
T2M_RANGE,2009,22.01,24.74,21.79,20.17,18.58,14.96,12.87,13.28,13.05,14.57,13.42,17.88,28.65
T2M_RANGE,2010,18.8,24.41,22.21,18.38,16.73,14.41,12.07,13.63,11.59,11.97,11.05,17.01,29.27
T2M_RANGE,2011,21.23,22.43,23.86,18.6,16.73,14.47,15.16,13.07,15.21,14.9,16.91,20.67,28.17
T2M_RANGE,2012,21.97,24.28,22.05,19.82,17.21,17.22,15.52,15.62,15.17,16.71,21.39,17.77,28.15
T2M_RANGE,2013,20.9,22.33,23.51,17.62,18.44,13.23,11.09,12.12,11.46,10.76,14.48,19.55,28.51
T2M_RANGE,2014,17.43,22.02,23.42,18.99,17.19,15.84,13.41,14.06,13.88,15.25,17.12,19.71,26.46
T2M_RANGE,2015,23.31,23.03,23.45,18.12,16.52,13.96,15.21,14.47,15.66,17.22,16.51,18.53,27.76
T2M_RANGE,2016,21.59,25.3,20.41,20.3,18.62,14.18,13.51,14.01,14.4,18.3,21.79,20.02,29.84
T2M_RANGE,2017,22.87,25.04,23.82,19.28,17.9,14.96,15.52,12.98,11.48,12.06,13.56,16.52,28.34
T2M_RANGE,2018,19.53,23.32,23.61,19.01,16.91,14.27,12.96,13.5,16.27,17.99,19.66,22.09,28.32
T2M_RANGE,2019,22.76,21.87,23.13,19.41,17.76,15.91,14.31,14.67,13.0,10.73,13.58,16.42,29.26
T2M_RANGE,2020,20.81,21.57,20.27,20.97,18.12,14.44,9.85,10.52,12.54,11.72,16.59,15.28,27.51
T2M_RANGE,2021,19.56,23.67,26.1,19.32,16.55,14.7,11.45,12.0,12.08,10.88,10.72,16.79,29.25
T2M_RANGE,2022,18.13,21.49,24.31,20.29,19.05,13.59,10.33,11.47,12.37,15.59,16.05,17.09,28.19
WS10M_RANGE,2004,6.98,6.41,7.95,6.17,10.7,12.23,9.42,9.1,9.12,7.1,5.95,6.48,12.8
WS10M_RANGE,2005,6.39,8.47,6.96,8.84,6.2,10.45,12.62,12.48,10.62,6.23,7.64,6.12,12.62
WS10M_RANGE,2006,6.28,7.61,6.12,7.96,11.47,11.19,9.54,11.37,9.55,7.49,6.0,5.72,12.77
WS10M_RANGE,2007,4.72,7.2,5.75,7.59,7.27,12.55,10.98,10.14,9.02,9.07,5.75,8.23,12.55
WS10M_RANGE,2008,6.88,6.9,9.13,7.39,7.83,9.37,10.56,10.97,9.06,6.73,8.88,5.98,11.22
WS10M_RANGE,2009,7.41,6.48,8.64,6.85,7.92,9.76,9.46,8.34,9.29,9.17,8.21,7.09,12.65
WS10M_RANGE,2010,6.31,6.77,8.33,7.21,10.37,10.28,11.48,9.41,8.53,7.29,9.83,6.82,11.58
WS10M_RANGE,2011,5.84,6.91,7.31,6.99,7.23,10.57,9.88,9.34,8.32,7.99,9.22,11.3,12.02
WS10M_RANGE,2012,7.34,7.73,8.2,6.93,8.34,10.54,9.56,10.95,9.65,13.07,11.45,7.78,13.14
WS10M_RANGE,2013,5.82,6.97,8.07,6.98,8.62,10.45,9.84,12.16,8.44,6.23,7.49,9.53,13.16
WS10M_RANGE,2014,6.48,7.3,7.73,6.73,11.0,10.26,10.2,11.88,9.44,7.37,6.38,6.73,12.89
WS10M_RANGE,2015,6.73,7.16,7.68,7.57,8.42,13.91,9.11,9.59,9.93,6.43,9.03,7.75,14.33
WS10M_RANGE,2016,8.2,7.88,6.79,8.49,9.51,10.46,12.35,10.19,7.96,6.16,6.48,8.32,12.9
WS10M_RANGE,2017,7.7,8.0,7.09,7.56,9.13,8.77,10.7,9.02,10.77,6.71,7.27,9.14,12.0
WS10M_RANGE,2018,5.71,6.49,7.38,7.31,6.62,11.26,9.78,9.06,7.05,7.42,6.86,6.85,12.15
WS10M_RANGE,2019,6.95,7.82,7.68,8.39,6.6,10.88,8.93,11.82,10.86,8.48,7.91,6.37,12.91
WS10M_RANGE,2020,5.67,7.68,6.62,7.98,9.54,10.5,9.96,12.2,9.89,9.02,10.41,6.83,12.88
WS10M_RANGE,2021,6.77,7.93,7.22,6.77,9.08,11.0,10.89,8.44,8.71,6.24,8.57,7.07,11.54
WS10M_RANGE,2022,6.62,7.34,8.12,7.49,9.37,9.2,12.95,12.24,9.7,7.19,6.66,9.01,13.59
PRECTOTCORR_SUM,2004,0.0,0.0,0.0,47.46,216.21,31.64,216.21,52.73,232.03,110.74,26.37,0.0,933.4
PRECTOTCORR_SUM,2005,0.0,5.27,5.27,79.1,158.2,36.91,137.11,168.75,158.2,411.33,68.55,10.55,1239.26
PRECTOTCORR_SUM,2006,0.0,0.0,63.28,26.37,142.38,110.74,36.91,31.64,52.73,52.73,42.19,0.0,558.98
PRECTOTCORR_SUM,2007,0.0,0.0,0.0,105.47,105.47,42.19,189.84,168.75,210.94,147.66,21.09,36.91,1028.32
PRECTOTCORR_SUM,2008,5.27,10.55,79.1,15.82,110.74,42.19,221.48,258.4,100.2,152.93,63.28,0.0,1059.96
PRECTOTCORR_SUM,2009,0.0,0.0,10.55,31.64,147.66,84.38,21.09,116.02,263.67,26.37,58.01,15.82,775.2
PRECTOTCORR_SUM,2010,5.27,0.0,0.0,89.65,73.83,84.38,100.2,152.93,126.56,131.84,121.29,10.55,896.48
PRECTOTCORR_SUM,2011,0.0,10.55,0.0,100.2,52.73,15.82,58.01,105.47,89.65,100.2,42.19,5.27,580.08
PRECTOTCORR_SUM,2012,0.0,0.0,0.0,36.91,47.46,15.82,47.46,84.38,47.46,116.02,15.82,10.55,421.88
PRECTOTCORR_SUM,2013,0.0,10.55,10.55,15.82,142.38,68.55,89.65,100.2,263.67,89.65,36.91,0.0,827.93
PRECTOTCORR_SUM,2014,0.0,0.0,0.0,0.0,73.83,84.38,31.64,52.73,131.84,126.56,15.82,0.0,516.8
PRECTOTCORR_SUM,2015,0.0,0.0,15.82,89.65,89.65,52.73,15.82,73.83,94.92,100.2,232.03,5.27,769.92
PRECTOTCORR_SUM,2016,0.0,0.0,21.09,5.27,100.2,126.56,137.11,31.64,26.37,26.37,0.0,63.28,537.89
PRECTOTCORR_SUM,2017,0.0,0.0,36.91,15.82,121.29,63.28,63.28,210.94,242.58,247.85,36.91,10.55,1049.41
PRECTOTCORR_SUM,2018,0.0,5.27,26.37,21.09,152.93,42.19,47.46,42.19,100.2,63.28,21.09,5.27,527.34
PRECTOTCORR_SUM,2019,10.55,15.82,0.0,58.01,79.1,52.73,47.46,116.02,158.2,189.84,42.19,10.55,780.47
PRECTOTCORR_SUM,2020,0.0,0.0,10.55,52.73,47.46,163.48,184.57,94.92,184.57,152.93,89.65,21.09,1001.95
PRECTOTCORR_SUM,2021,15.82,15.82,0.0,65.06,162.75,73.78,201.94,107.14,130.43,181.42,200.99,13.99,1169.15
PRECTOTCORR_SUM,2022,1.69,0.0,11.95,50.78,189.8,153.26,123.41,496.83,159.6,179.22,67.03,96.64,1530.22
